submission_date,state,tot_cases,new_case,tot_death,new_death
6/30/2021,AK,68379,40,370,3
7/1/2021,AK,68428,49,370,0
7/2/2021,AK,68478,50,370,0
7/3/2021,AK,68517,39,370,0
7/4/2021,AK,68556,39,370,0
7/5/2021,AK,68595,39,370,0
7/6/2021,AK,68634,39,370,0
7/7/2021,AK,68674,40,370,0
7/8/2021,AK,68732,58,370,0
7/9/2021,AK,68791,59,372,2
7/10/2021,AK,68844,53,372,0
7/11/2021,AK,68897,53,372,0
7/12/2021,AK,68951,54,374,2
7/13/2021,AK,69069,118,374,0
7/14/2021,AK,69187,118,374,0
7/15/2021,AK,69320,133,374,0
7/16/2021,AK,69453,133,374,0
7/17/2021,AK,69599,146,374,0
7/18/2021,AK,69745,146,374,0
7/19/2021,AK,69891,146,374,0
7/20/2021,AK,70109,218,374,0
7/21/2021,AK,70328,219,375,1
7/22/2021,AK,70539,211,375,0
7/23/2021,AK,70751,212,377,2
7/24/2021,AK,70929,178,377,0
7/25/2021,AK,71107,178,377,0
7/26/2021,AK,71286,179,377,0
7/27/2021,AK,71521,235,377,0
7/28/2021,AK,71757,236,379,2
7/29/2021,AK,72021,264,379,0
7/30/2021,AK,72285,264,382,3
7/31/2021,AK,72519,234,382,0
8/1/2021,AK,72753,234,382,0
8/2/2021,AK,72988,235,382,0
8/3/2021,AK,73257,269,384,2
8/4/2021,AK,73584,327,385,1
8/5/2021,AK,73931,347,390,5
8/6/2021,AK,74244,313,390,0
8/7/2021,AK,74514,270,390,0
8/8/2021,AK,74784,270,390,0
8/9/2021,AK,75056,272,391,1
8/10/2021,AK,75295,239,392,1
8/11/2021,AK,75654,359,392,0
8/12/2021,AK,76030,376,395,3
8/13/2021,AK,76343,313,395,0
8/14/2021,AK,76676,333,395,0
8/15/2021,AK,77009,333,395,0
8/16/2021,AK,77343,334,395,0
8/17/2021,AK,77774,431,400,5
8/18/2021,AK,78407,633,404,4
8/19/2021,AK,79038,631,404,0
8/20/2021,AK,79479,441,406,2
8/21/2021,AK,79830,351,406,0
8/22/2021,AK,80181,351,406,0
8/23/2021,AK,80533,352,406,0
8/24/2021,AK,81097,564,419,13
8/25/2021,AK,81671,574,427,8
8/26/2021,AK,82371,700,427,0
8/27/2021,AK,82880,509,427,0
8/28/2021,AK,83250,370,427,0
8/29/2021,AK,83620,370,427,0
8/30/2021,AK,83991,371,427,0
8/31/2021,AK,84597,606,431,4
9/1/2021,AK,85358,761,435,4
9/2/2021,AK,86028,670,435,0
9/3/2021,AK,86598,570,435,0
9/4/2021,AK,87113,515,435,0
9/5/2021,AK,87628,515,435,0
9/6/2021,AK,88143,515,435,0
9/7/2021,AK,88658,515,437,2
9/8/2021,AK,89466,808,442,5
9/9/2021,AK,90271,805,442,0
9/10/2021,AK,90946,675,444,2
9/11/2021,AK,91418,472,444,0
9/12/2021,AK,91890,472,444,0
9/13/2021,AK,92363,473,445,1
9/14/2021,AK,93039,676,451,6
9/15/2021,AK,94105,1066,453,2
9/16/2021,AK,95132,1027,453,0
9/17/2021,AK,96002,870,454,1
9/18/2021,AK,96688,686,455,1
9/19/2021,AK,97374,686,456,1
9/20/2021,AK,98061,687,459,3
9/21/2021,AK,98891,830,465,6
9/22/2021,AK,100111,1220,466,1
9/23/2021,AK,101384,1273,473,7
9/24/2021,AK,103113,1729,514,41
9/25/2021,AK,104400,1287,520,6
9/26/2021,AK,105687,1287,526,6
9/27/2021,AK,106976,1289,532,6
9/28/2021,AK,107640,664,542,10
9/29/2021,AK,108608,968,546,4
9/30/2021,AK,109845,1237,556,10
10/1/2021,AK,110850,1005,557,1
10/2/2021,AK,111579,729,557,0
10/3/2021,AK,112308,729,557,0
10/4/2021,AK,113037,729,558,1
10/5/2021,AK,113857,820,561,3
10/6/2021,AK,114708,851,564,3
10/7/2021,AK,115543,835,569,5
10/8/2021,AK,116367,824,570,1
10/9/2021,AK,117278,911,571,1
10/10/2021,AK,118189,911,572,1
10/11/2021,AK,119102,913,574,2
10/12/2021,AK,119546,444,590,16
10/13/2021,AK,120751,1205,590,0
10/14/2021,AK,121710,959,592,2
10/15/2021,AK,122678,968,594,2
1/22/2020,AL,7,7,0,0
1/23/2020,AL,7,0,0,0
1/24/2020,AL,7,0,0,0
1/25/2020,AL,7,0,0,0
1/26/2020,AL,7,0,0,0
1/27/2020,AL,7,0,0,0
1/28/2020,AL,8,1,0,0
1/29/2020,AL,8,0,0,0
1/30/2020,AL,8,0,0,0
1/31/2020,AL,9,1,0,0
2/1/2020,AL,12,3,0,0
2/2/2020,AL,12,0,0,0
2/3/2020,AL,13,1,0,0
2/4/2020,AL,13,0,0,0
2/5/2020,AL,13,0,0,0
2/6/2020,AL,13,0,0,0
2/7/2020,AL,13,0,0,0
2/8/2020,AL,14,1,0,0
2/9/2020,AL,14,0,0,0
